Title,Author,Genre,Rating,Review
To Kill a Mockingbird,Harper Lee,Classic Fiction,4.8,An impactful and timeless story.
The Great Gatsby,F. Scott Fitzgerald,Classic Literature,4.5,Captivating portrayal of the Jazz Age.
Pride and Prejudice,Jane Austen,Classic Romance,4.7,A beautifully crafted love story.1984,George Orwell,Dystopian Fiction,4.6,A thought-provoking classic.
The Catcher in the Rye,J.D. Salinger,Literary Fiction,4.4,A gripping coming-of-age novel.
Brave New World,Aldous Huxley,Dystopian Fiction,4.3,A futuristic and thought-provoking narrative.
Moby-Dick,Herman Melville,Classic Adventure,4.5,A monumental tale of obsession and revenge.
The Lord of the Rings,J.R.R. Tolkien,Fantasy,4.9,A captivating fantasy epic.
Jane Eyre,Charlotte Brontë,Gothic Romance,4.6,A compelling story of love and independence.
Wuthering Heights,Emily Brontë,Gothic Fiction,4.7,An intense and haunting romance.Happiest Man on Earth,jebbie,fiction,4,fantastic
Happy,Jenne,fiction,3,Great book
